Model,DPO4104
Firmware Version,2.48

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-06,
Sample Interval,2e-10,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,0.1
Label,,
TIME,CH1,CH2
-9.84320e-06,0.00642188,-0.00159375
-9.84300e-06,0.0065625,-0.00125
-9.84280e-06,0.00578125,-0.0024375
-9.84260e-06,0.00589063,-0.00221875
-9.84240e-06,0.00573437,-0.00209375
-9.84220e-06,0.00546875,-0.00198437
-9.84200e-06,0.00595313,-0.00139062
-9.84180e-06,0.00582813,-0.00171875
-9.84160e-06,0.00603125,-0.00140625
-9.84140e-06,0.005625,-0.00157812
-9.84120e-06,0.005875,-0.000890625
-9.84100e-06,0.0053125,-0.00128125
-9.84080e-06,0.00625,-0.00129687
-9.84060e-06,0.00584375,-0.00140625
-9.84040e-06,0.00582813,-0.001625
-9.84020e-06,0.00635938,-0.000953125
-9.84000e-06,0.00589063,-0.00146875
-9.83980e-06,0.0055625,-0.00220312
-9.83960e-06,0.00570313,-0.00226562
-9.83940e-06,0.00684375,-0.001375
-9.83920e-06,0.00645313,-0.00178125
-9.83900e-06,0.00615625,-0.00189062
-9.83880e-06,0.006125,-0.00198437
-9.83860e-06,0.005875,-0.002
-9.83840e-06,0.00639063,-0.00175
-9.83820e-06,0.00553125,-0.00196875
-9.83800e-06,0.00604688,-0.00145312
-9.83780e-06,0.00615625,-0.00167187
-9.83760e-06,0.00590625,-0.00159375
-9.83740e-06,0.00589063,-0.00125
-9.83720e-06,0.00582813,-0.00142187
-9.83700e-06,0.00595313,-0.00132812
-9.83680e-06,0.006,-0.0010625
-9.83660e-06,0.00632813,-0.000703125
-9.83640e-06,0.00535937,-0.00176562
-9.83620e-06,0.00590625,-0.0009375
-9.83600e-06,0.00559375,-0.00121875
-9.83580e-06,0.00571875,-0.00090625
-9.83560e-06,0.00598438,-0.00059375
-9.83540e-06,0.00596875,-0.00114062
-9.83520e-06,0.00625,-0.00123437
-9.83500e-06,0.00610938,-0.0018125
-9.83480e-06,0.0064375,-0.0016875
-9.83460e-06,0.00632813,-0.00245312
-9.83440e-06,0.0065,-0.00195312
-9.83420e-06,0.006375,-0.00229687
-9.83400e-06,0.00607813,-0.00267187
-9.83380e-06,0.00654688,-0.0024375
-9.83360e-06,0.00626563,-0.0029375
-9.83340e-06,0.00560937,-0.00296875
-9.83320e-06,0.00578125,-0.00276562
-9.83300e-06,0.00678125,-0.002
-9.83280e-06,0.0059375,-0.0025625
-9.83260e-06,0.006,-0.00229687
-9.83240e-06,0.00590625,-0.00253125
-9.83220e-06,0.00573437,-0.00221875
-9.83200e-06,0.00585938,-0.00179687
-9.83180e-06,0.00540625,-0.00253125
-9.83160e-06,0.00571875,-0.00225
-9.83140e-06,0.00601563,-0.00189062
-9.83120e-06,0.0059375,-0.0023125
-9.83100e-06,0.00590625,-0.00221875
-9.83080e-06,0.0059375,-0.0023125
-9.83060e-06,0.00575,-0.00251562
-9.83040e-06,0.00607813,-0.00289062
-9.83020e-06,0.00659375,-0.002375
-9.83000e-06,0.00557813,-0.003375
-9.82980e-06,0.00590625,-0.00339062
-9.82960e-06,0.00585938,-0.0035625
-9.82940e-06,0.00589063,-0.003875
-9.82920e-06,0.00654688,-0.00385937
-9.82900e-06,0.006,-0.004
-9.82880e-06,0.00642188,-0.004
-9.82860e-06,0.00617188,-0.00425
-9.82840e-06,0.00639063,-0.004125
-9.82820e-06,0.006125,-0.00423437
-9.82800e-06,0.00620313,-0.00428125
-9.82780e-06,0.0059375,-0.00410937
-9.82760e-06,0.00592188,-0.00417187
-9.82740e-06,0.00601563,-0.00398437
-9.82720e-06,0.00564063,-0.00442187
-9.82700e-06,0.0054375,-0.00440625
-9.82680e-06,0.00582813,-0.00439062
-9.82660e-06,0.0063125,-0.0041875
-9.82640e-06,0.005875,-0.00460937
-9.82620e-06,0.0060625,-0.00465625
-9.82600e-06,0.00598438,-0.00475
-9.82580e-06,0.005875,-0.00479687
-9.82560e-06,0.0063125,-0.0048125
-9.82540e-06,0.00582813,-0.00473437
-9.82520e-06,0.00620313,-0.00475
-9.82500e-06,0.00642188,-0.00485937
-9.82480e-06,0.00664063,-0.00496875
-9.82460e-06,0.00629688,-0.00501562
-9.82440e-06,0.00617188,-0.00532812
-9.82420e-06,0.00604688,-0.00489062
-9.82400e-06,0.0065,-0.0045
-9.82380e-06,0.00670313,-0.00414062
-9.82360e-06,0.00557813,-0.00439062
-9.82340e-06,0.00582813,-0.0040625
-9.82320e-06,0.00554688,-0.00379687
-9.82300e-06,0.0056875,-0.00351562
-9.82280e-06,0.0059375,-0.00342187
-9.82260e-06,0.00560937,-0.00339062
-9.82240e-06,0.005875,-0.00284375
-9.82220e-06,0.00548437,-0.00303125
-9.82200e-06,0.00626563,-0.00290625
-9.82180e-06,0.00529688,-0.00321875
-9.82160e-06,0.0058125,-0.002625
-9.82140e-06,0.00576563,-0.00278125
-9.82120e-06,0.00582813,-0.0031875
-9.82100e-06,0.00596875,-0.00304687
-9.82080e-06,0.00589063,-0.00323437
-9.82060e-06,0.0053125,-0.003375
-9.82040e-06,0.00548437,-0.00304687
-9.82020e-06,0.00653125,-0.00275
-9.82000e-06,0.0061875,-0.003125
-9.81980e-06,0.00615625,-0.00310937
-9.81960e-06,0.00584375,-0.00323437
-9.81940e-06,0.006,-0.00328125
-9.81920e-06,0.00625,-0.0030625
-9.81900e-06,0.00545313,-0.00360937
-9.81880e-06,0.00545313,-0.00310937
-9.81860e-06,0.0059375,-0.00251562
-9.81840e-06,0.00584375,-0.003375
-9.81820e-06,0.00585938,-0.00303125
-9.81800e-06,0.00564063,-0.00264062
-9.81780e-06,0.00540625,-0.00307812
-9.81760e-06,0.0056875,-0.0030625
-9.81740e-06,0.00615625,-0.00223437
-9.81720e-06,0.005,-0.00292187
-9.81700e-06,0.00551563,-0.00242187
-9.81680e-06,0.00525,-0.00289062
-9.81660e-06,0.00551563,-0.00229687
-9.81640e-06,0.00589063,-0.00185937
-9.81620e-06,0.00578125,-0.00254687
-9.81600e-06,0.00573437,-0.0025625
-9.81580e-06,0.005625,-0.00259375
-9.81560e-06,0.006125,-0.00192187
-9.81540e-06,0.005375,-0.00275
-9.81520e-06,0.00582813,-0.00239062
-9.81500e-06,0.00589063,-0.00234375
-9.81480e-06,0.00573437,-0.00271875
-9.81460e-06,0.00601563,-0.00217187
-9.81440e-06,0.00551563,-0.0026875
-9.81420e-06,0.00535937,-0.00270312
-9.81400e-06,0.00532813,-0.00270312
-9.81380e-06,0.00621875,-0.00196875
-9.81360e-06,0.0059375,-0.00201562
-9.81340e-06,0.0060625,-0.00203125
-9.81320e-06,0.00529688,-0.0025625
-9.81300e-06,0.00557813,-0.00240625
-9.81280e-06,0.00615625,-0.00178125
-9.81260e-06,0.00539063,-0.00220312
-9.81240e-06,0.005125,-0.00220312
-9.81220e-06,0.00551563,-0.00167187
-9.81200e-06,0.00554688,-0.00182812
-9.81180e-06,0.00517188,-0.00198437
-9.81160e-06,0.0055625,-0.00204687
-9.81140e-06,0.00559375,-0.00214062
-9.81120e-06,0.00559375,-0.00170312
-9.81100e-06,0.00626563,-0.00159375
-9.81080e-06,0.00515625,-0.0025625
-9.81060e-06,0.005375,-0.00209375
-9.81040e-06,0.00520313,-0.00242187
-9.81020e-06,0.00545313,-0.00246875
-9.81000e-06,0.00575,-0.002
-9.80980e-06,0.00560937,-0.00221875
-9.80960e-06,0.0056875,-0.00204687
-9.80940e-06,0.00523437,-0.00198437
-9.80920e-06,0.00621875,-0.00115625
-9.80900e-06,0.0050625,-0.00160937
-9.80880e-06,0.00534375,-0.00171875
-9.80860e-06,0.005375,-0.00182812
-9.80840e-06,0.0051875,-0.002125
-9.80820e-06,0.00590625,-0.001125
-9.80800e-06,0.005375,-0.00170312
