Model,DPO4104
Firmware Version,2.48

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,Hz
Horizontal Scale,2e-06,,,,Horizontal Scale,2.5e+08
Sample Interval,2e-10,,,,Sample Interval,25000
Record Length,100000,,,,Record Length,100000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,0.1,0.1,1,,Vertical Scale,0.0005
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,MATH
-9.83420e-06,0.00671875,0.00564063,3.86547,,3.92500e+06,0.000336328
-9.83400e-06,0.00717187,0.00559375,3.87016,,3.95000e+06,0.000650547
-9.83380e-06,0.00692187,0.00545313,3.87219,,3.97500e+06,0.000968203
-9.83360e-06,0.0066875,0.00509375,3.86953,,4.00000e+06,0.00128594
-9.83340e-06,0.00673438,0.00551562,3.86969,,4.02500e+06,0.000971172
-9.83320e-06,0.00679687,0.00523438,3.8725,,4.05000e+06,0.000656484
-9.83300e-06,0.0068125,0.00540625,3.87328,,4.07500e+06,0.000341797
-9.83280e-06,0.00670312,0.00492188,3.86844,,4.10000e+06,2.71875e-05
-9.83260e-06,0.00689062,0.0048125,3.86844,,4.12500e+06,2.625e-05
-9.83240e-06,0.00695312,0.00485937,3.86828,,4.15000e+06,2.53906e-05
-9.83220e-06,0.0065,0.004375,3.86422,,4.17500e+06,2.50781e-05
-9.83200e-06,0.006375,0.0048125,3.87219,,4.20000e+06,2.48437e-05
-9.83180e-06,0.00671875,0.00470313,3.86547,,4.22500e+06,2.51563e-05
-9.83160e-06,0.00634375,0.00471875,3.86922,,4.25000e+06,2.55469e-05
-9.83140e-06,0.00646875,0.00435937,3.87031,,4.27500e+06,2.53125e-05
-9.83120e-06,0.00632812,0.00484375,3.87516,,4.30000e+06,2.50781e-05
-9.83100e-06,0.006625,0.00451562,3.86922,,4.32500e+06,2.51563e-05
-9.83080e-06,0.00639062,0.00403125,3.86469,,4.35000e+06,2.52344e-05
-9.83060e-06,0.00623438,0.00389063,3.87078,,4.37500e+06,2.53906e-05
-9.83040e-06,0.00620312,0.003875,3.87031,,4.40000e+06,2.5625e-05
-9.83020e-06,0.00646875,0.00426562,3.875,,4.42500e+06,2.48437e-05
-9.83000e-06,0.00615625,0.00364063,3.87141,,4.45000e+06,2.40625e-05
-9.82980e-06,0.00653125,0.003625,3.87,,4.47500e+06,2.35156e-05
-9.82960e-06,0.00665625,0.00409375,3.87125,,4.50000e+06,2.29687e-05
-9.82940e-06,0.00614062,0.00389063,3.87266,,4.52500e+06,2.3125e-05
-9.82920e-06,0.00639062,0.00384375,3.87,,4.55000e+06,2.32812e-05
-9.82900e-06,0.006375,0.00371875,3.87078,,4.57500e+06,2.41406e-05
-9.82880e-06,0.00604687,0.00323438,3.86828,,4.60000e+06,2.50781e-05
-9.82860e-06,0.00603125,0.00332813,3.87109,,4.62500e+06,2.5625e-05
-9.82840e-06,0.00659375,0.003875,3.87406,,4.65000e+06,2.625e-05
-9.82820e-06,0.00620312,0.00295313,3.86688,,4.67500e+06,2.59375e-05
-9.82800e-06,0.00620312,0.00339063,3.87094,,4.70000e+06,2.5625e-05
-9.82780e-06,0.006,0.0030625,3.87297,,4.72500e+06,2.57812e-05
-9.82760e-06,0.00620312,0.00317188,3.87437,,4.75000e+06,2.60156e-05
-9.82740e-06,0.00615625,0.00295313,3.87391,,4.77500e+06,2.59375e-05
-9.82720e-06,0.00632812,0.00260937,3.87156,,4.80000e+06,2.59375e-05
-9.82700e-06,0.00640625,0.0026875,3.87266,,4.82500e+06,2.50781e-05
-9.82680e-06,0.00610938,0.002875,3.87281,,4.85000e+06,2.42969e-05
-9.82660e-06,0.00623438,0.00273438,3.87547,,4.87500e+06,2.40625e-05
-9.82640e-06,0.00585938,0.00271875,3.87078,,4.90000e+06,2.38281e-05
-9.82620e-06,0.006375,0.0031875,3.87125,,4.92500e+06,0.000154922
-9.82600e-06,0.00604687,0.00253125,3.87328,,4.95000e+06,0.000286094
-9.82580e-06,0.00592187,0.00282813,3.87,,4.97500e+06,0.000440703
-9.82560e-06,0.00582813,0.00217188,3.87531,,5.00000e+06,0.000595391
-9.82540e-06,0.00570313,0.0024375,3.87297,,5.02500e+06,0.000439766
-9.82520e-06,0.0060625,0.00264063,3.87234,,5.05000e+06,0.000284219
-9.82500e-06,0.00584375,0.00251562,3.87594,,5.07500e+06,0.000155391
-9.82480e-06,0.006,0.00246875,3.87672,,5.10000e+06,2.66406e-05
-9.82460e-06,0.005625,0.00229688,3.87219,,5.12500e+06,2.625e-05
-9.82440e-06,0.00546875,0.0024375,3.87297,,5.15000e+06,2.58594e-05
-9.82420e-06,0.00575,0.00246875,3.87297,,5.17500e+06,2.63281e-05
-9.82400e-06,0.00603125,0.00201562,3.87297,,5.20000e+06,2.67969e-05
-9.82380e-06,0.00582813,0.00232813,3.87688,,5.22500e+06,2.71875e-05
-9.82360e-06,0.00592187,0.00214063,3.87563,,5.25000e+06,2.75781e-05
-9.82340e-06,0.0055625,0.00232813,3.87406,,5.27500e+06,2.70312e-05
-9.82320e-06,0.00578125,0.0025,3.87344,,5.30000e+06,2.65625e-05
-9.82300e-06,0.00560937,0.00215625,3.87563,,5.32500e+06,2.64062e-05
-9.82280e-06,0.0051875,0.00223438,3.87156,,5.35000e+06,2.625e-05
-9.82260e-06,0.00553125,0.002375,3.87406,,5.37500e+06,2.65625e-05
-9.82240e-06,0.00559375,0.0021875,3.87672,,5.40000e+06,2.69531e-05
-9.82220e-06,0.00535937,0.00203125,3.87266,,5.42500e+06,2.65625e-05
-9.82200e-06,0.00573437,0.00253125,3.87891,,5.45000e+06,2.625e-05
-9.82180e-06,0.00509375,0.002125,3.87328,,5.47500e+06,2.59375e-05
-9.82160e-06,0.00529687,0.00209375,3.87453,,5.50000e+06,2.57031e-05
-9.82140e-06,0.00554687,0.00203125,3.87656,,5.52500e+06,2.625e-05
-9.82120e-06,0.00545313,0.002,3.87766,,5.55000e+06,2.67969e-05
-9.82100e-06,0.0055625,0.00196875,3.87625,,5.57500e+06,2.69531e-05
-9.82080e-06,0.00510937,0.0020625,3.87437,,5.60000e+06,2.71094e-05
-9.82060e-06,0.00576562,0.00221875,3.87797,,5.62500e+06,2.70312e-05
-9.82040e-06,0.00526562,0.00179688,3.87719,,5.65000e+06,2.69531e-05
-9.82020e-06,0.00578125,0.00204688,3.87844,,5.67500e+06,2.70312e-05
-9.82000e-06,0.005375,0.00195312,3.87609,,5.70000e+06,2.71094e-05
-9.81980e-06,0.00485937,0.00209375,3.87422,,5.72500e+06,2.71875e-05
-9.81960e-06,0.00546875,0.00192188,3.87781,,5.75000e+06,2.73438e-05
-9.81940e-06,0.00490625,0.00164063,3.87484,,5.77500e+06,2.72656e-05
-9.81920e-06,0.00548437,0.00190625,3.87844,,5.80000e+06,2.72656e-05
