Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,1
Label,,,
TIME,CH1,CH2,CH3
-9.79400e-06,0.00534375,-0.00289062,0.810781
-9.79380e-06,0.005625,-0.00325,0.813906
-9.79360e-06,0.00553125,-0.00292187,0.809687
-9.79340e-06,0.00589062,-0.0025625,0.812969
-9.79320e-06,0.0059375,-0.00245313,0.817969
-9.79300e-06,0.00535937,-0.00310937,0.808125
-9.79280e-06,0.00545313,-0.00275,0.813281
-9.79260e-06,0.00589062,-0.00239062,0.811562
-9.79240e-06,0.00596875,-0.0024375,0.815156
-9.79220e-06,0.00595313,-0.00245313,0.817812
-9.79200e-06,0.00534375,-0.002375,0.813125
-9.79180e-06,0.00579687,-0.00203125,0.813125
-9.79160e-06,0.00576562,-0.00226562,0.810937
-9.79140e-06,0.00589062,-0.00215625,0.814531
-9.79120e-06,0.00564062,-0.00234375,0.80875
-9.79100e-06,0.0055,-0.00217187,0.814375
-9.79080e-06,0.00571875,-0.00221875,0.8175
-9.79060e-06,0.00539062,-0.00217187,0.817812
-9.79040e-06,0.00554687,-0.00209375,0.815312
-9.79020e-06,0.00514062,-0.00226562,0.812344
-9.79000e-06,0.00546875,-0.00229688,0.811562
-9.78980e-06,0.00551562,-0.0021875,0.813594
-9.78960e-06,0.0056875,-0.00192187,0.817187
-9.78940e-06,0.00532813,-0.00207812,0.815312
-9.78920e-06,0.00532813,-0.00184375,0.813906
-9.78900e-06,0.0055,-0.00176562,0.816094
-9.78880e-06,0.00579687,-0.00184375,0.815156
-9.78860e-06,0.0058125,-0.00184375,0.815937
-9.78840e-06,0.00559375,-0.00195312,0.809063
-9.78820e-06,0.00553125,-0.00178125,0.816094
-9.78800e-06,0.00571875,-0.00146875,0.818125
-9.78780e-06,0.00570313,-0.00195312,0.816094
-9.78760e-06,0.00507813,-0.00164063,0.813594
-9.78740e-06,0.00528125,-0.00165625,0.816875
-9.78720e-06,0.00557813,-0.00178125,0.813906
-9.78700e-06,0.00571875,-0.00184375,0.81375
-9.78680e-06,0.0058125,-0.0013125,0.820312
-9.78660e-06,0.00535937,-0.00190625,0.810625
-9.78640e-06,0.0055625,-0.00140625,0.814844
-9.78620e-06,0.00573437,-0.00167187,0.812969
-9.78600e-06,0.0055625,-0.00148437,0.813281
-9.78580e-06,0.00557813,-0.0015,0.818594
-9.78560e-06,0.00501562,-0.0015625,0.817812
-9.78540e-06,0.00573437,-0.001375,0.818594
-9.78520e-06,0.0051875,-0.00170312,0.816406
-9.78500e-06,0.00560937,-0.00140625,0.820625
-9.78480e-06,0.00529687,-0.00146875,0.811094
-9.78460e-06,0.00521875,-0.0011875,0.817969
-9.78440e-06,0.00523437,-0.00146875,0.816094
-9.78420e-06,0.00485937,-0.001375,0.818281
-9.78400e-06,0.005625,-0.00159375,0.818281
-9.78380e-06,0.00521875,-0.0014375,0.815625
-9.78360e-06,0.0053125,-0.00164063,0.812344
-9.78340e-06,0.00520313,-0.00132812,0.813437
-9.78320e-06,0.00567187,-0.000703125,0.823437
-9.78300e-06,0.00490625,-0.00117187,0.819063
-9.78280e-06,0.0053125,-0.00128125,0.817031
-9.78260e-06,0.00521875,-0.00128125,0.815156
-9.78240e-06,0.00529687,-0.00101562,0.81625
-9.78220e-06,0.0056875,-0.00110937,0.819531
-9.78200e-06,0.00526562,-0.00146875,0.81
-9.78180e-06,0.00554687,-0.00120312,0.815469
-9.78160e-06,0.00521875,-0.000609375,0.817656
-9.78140e-06,0.0053125,-0.00159375,0.817969
-9.78120e-06,0.00517187,-0.001125,0.814844
-9.78100e-06,0.00515625,-0.000890625,0.817656
-9.78080e-06,0.00532813,-0.00148437,0.817187
-9.78060e-06,0.00515625,-0.00117187,0.818594
-9.78040e-06,0.00551562,-0.00046875,0.825156
-9.78020e-06,0.0048125,-0.00135937,0.811875
-9.78000e-06,0.00539062,-0.00071875,0.814688
-9.77980e-06,0.0055,-0.000921875,0.816094
-9.77960e-06,0.00509375,-0.000578125,0.814844
-9.77940e-06,0.00551562,-0.0004375,0.820937
-9.77920e-06,0.00501562,-0.0009375,0.818906
-9.77900e-06,0.00535937,-0.00071875,0.819531
-9.77880e-06,0.0051875,-0.00090625,0.815
-9.77860e-06,0.00545313,-0.00046875,0.821406
-9.77840e-06,0.00534375,-0.00084375,0.815469
-9.77820e-06,0.00492187,-0.000390625,0.820937
-9.77800e-06,0.00521875,-0.00053125,0.817656
-9.77780e-06,0.00482813,-0.000765625,0.81875
-9.77760e-06,0.00573437,-0.000171875,0.820937
-9.77740e-06,0.0049375,-0.000859375,0.820312
