time	V_out
1.02066258979949409E-7	5.00899610558498765E-6
1.02117979125568925E-7	3.28456636587233897E-6
1.02172356804326281E-7	1.63095086543284395E-6
1.02239714818769123E-7	1.61395293094715386E-5
1.02315350358459645E-7	5.85926815376953947E-5
1.02365936507337318E-7	9.47176292651058560E-5
1.02420249754177428E-7	1.09703208548521114E-4
1.02487944131021314E-7	1.07737684556411661E-4
1.02566367982886097E-7	7.47352172806086301E-5
1.02617275584355250E-7	2.83713994794467173E-5
1.02671746134507114E-7	-2.79991376948737658E-5
1.02739536335430182E-7	-7.10764825605394712E-5
1.02815537976968541E-7	-9.12391603317585798E-5
1.02866231613740133E-7	-8.47931056723182053E-5
1.02920548182191296E-7	-6.10313981656106463E-5
1.02988386215105066E-7	-3.24373995902415269E-5
1.03066496040377764E-7	-1.15426214972162855E-5
1.03117380639527845E-7	-6.28917215780037697E-6
1.03171872030953682E-7	-1.10100190057717895E-6
1.03239745128018501E-7	1.98467145852105120E-5
1.03315548921778877E-7	6.77669066092826267E-5
1.03366235185041533E-7	1.06861625543705463E-4
1.03420548574231197E-7	1.29114731831771912E-4
1.03488433628357135E-7	1.32586760004155169E-4
1.03566575894933988E-7	1.07491476815578513E-4
1.03617467376781103E-7	6.30463938120392342E-5
1.03671971199390800E-7	7.39917834938978114E-6
1.03739871646906656E-7	-4.44309059107571080E-5
1.03815522454199582E-7	-8.14335415911853033E-5
1.03866198839970192E-7	-8.66154766654906361E-5
1.03920505056276391E-7	-7.36022782092716810E-5
1.03988409003831106E-7	-5.08431140352179156E-5
1.04066644320824686E-7	-2.86841570533760759E-5
1.04117546005320061E-7	-1.70824640364779401E-5
1.04172060993036175E-7	-4.40687279465776527E-6
1.04239974885206066E-7	2.12164118354317832E-5
1.04315483643998808E-7	6.94677476353247947E-5
1.04366149797185703E-7	1.10018735134838708E-4
1.04420447109938141E-7	1.37457955318317060E-4
1.04488362723277195E-7	1.49446579716065586E-4
1.04566714144783068E-7	1.34453669285766120E-4
1.04617627570619476E-7	9.54668272704511267E-5
1.04672154094375625E-7	4.11650622792839638E-5
1.04740078449735474E-7	-1.49468958252802864E-5
1.04815439397051557E-7	-6.34640334964326414E-5
1.04866094673151733E-7	-7.91919162363925011E-5
1.04920382033182347E-7	-7.64035277760006881E-5
1.04988308437309752E-7	-6.19623903830390432E-5
1.05066789614084710E-7	-4.12228410920284372E-5
1.05117716018266227E-7	-2.40287118627550633E-5
1.05172254969075474E-7	-2.26012571719055178E-6
1.05240190135090517E-7	3.00839185985263002E-5
1.05315391844374129E-7	8.02430002730018010E-5
1.05366035484071174E-7	1.21106317704641953E-4
1.05420312027940555E-7	1.51879663026527156E-4
1.05488250457190813E-7	1.70872939439462534E-4
1.05566872421489566E-7	1.66521314179840840E-4
1.05617812993875582E-7	1.33577217159402717E-4
1.05672365467459350E-7	8.22202477824330380E-5
1.05740312965257610E-7	2.49706504436737786E-5
1.05815341797598794E-7	-3.08555099570076852E-5
1.05865973012016079E-7	-5.49190610397409706E-5
1.05920237924536265E-7	-6.24116022260498671E-5
1.05988190504463309E-7	-5.86694362754848076E-5
1.06066963492675281E-7	-4.54991836940422356E-5
1.06117919436602981E-7	-2.72941796243622381E-5
1.06172486635446117E-7	-1.49677057821980242E-7
1.06240448546530364E-7	3.75277966481638625E-5
1.06315289760014409E-7	8.95658929589740183E-5
1.06365907769972523E-7	1.30564981996382956E-4
1.06420160254957685E-7	1.62055343448518574E-4
1.06488129672776610E-7	1.83898007351343429E-4
1.06567063489375968E-7	1.86308548127200102E-4
1.06618036025389862E-7	1.58513650739513401E-4
1.06672619221187892E-7	1.12023565894380650E-4
1.06740598020169819E-7	5.78216798452427572E-5
1.06815236234821342E-7	1.81716668889223243E-6
1.06865840299854886E-7	-2.57261896369901955E-5
1.06920079585510952E-7	-3.80425238093116169E-5
1.06988069018929011E-7	-3.92969776483778910E-5
1.07067172927061494E-7	-2.98241056686330364E-5
1.07118163274554501E-7	-1.02940449717078630E-5
1.07172763784352876E-7	2.28495506138424176E-5
