Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,2
Label,,,
TIME,CH1,CH2,CH3
-9.89400e-06,0.00432813,-0.00375,6.15594
-9.89380e-06,0.00454688,-0.00334375,6.15813
-9.89360e-06,0.00415625,-0.0033125,6.15
-9.89340e-06,0.00453125,-0.0029375,6.16938
-9.89320e-06,0.00445313,-0.002875,6.17375
-9.89300e-06,0.00446875,-0.00292188,6.17094
-9.89280e-06,0.00460937,-0.00276562,6.16781
-9.89260e-06,0.00434375,-0.00285937,6.15
-9.89240e-06,0.00426563,-0.00203125,6.15719
-9.89220e-06,0.00482813,-0.002125,6.15469
-9.89200e-06,0.00503125,-0.001375,6.15344
-9.89180e-06,0.00453125,-0.00204688,6.14625
-9.89160e-06,0.00446875,-0.00217187,6.14313
-9.89140e-06,0.00432813,-0.00196875,6.14062
-9.89120e-06,0.00429688,-0.00171875,6.13781
-9.89100e-06,0.0045,-0.00146875,6.14031
-9.89080e-06,0.00396875,-0.00153125,6.14688
-9.89060e-06,0.00401563,-0.00157812,6.14813
-9.89040e-06,0.00415625,-0.00104688,6.15031
-9.89020e-06,0.0045,-0.0009375,6.15406
-9.89000e-06,0.00442188,-0.000890625,6.15375
-9.88980e-06,0.00385938,-0.00075,6.14656
-9.88960e-06,0.00434375,-0.0004375,6.13969
-9.88940e-06,0.00445313,-0.000890625,6.1275
-9.88920e-06,0.00432813,-0.000390625,6.13281
-9.88900e-06,0.0048125,-0.00040625,6.1425
-9.88880e-06,0.00442188,-0.0003125,6.15219
-9.88860e-06,0.00440625,0.000234375,6.14563
-9.88840e-06,0.00442188,-9.375e-05,6.13406
-9.88820e-06,0.00454688,-0.000421875,6.12094
-9.88800e-06,0.004125,0,6.11781
-9.88780e-06,0.00410937,-0.000234375,6.105
-9.88760e-06,0.00453125,0.000359375,6.12469
-9.88740e-06,0.00464063,0.000515625,6.12719
-9.88720e-06,0.004375,0.00034375,6.12938
-9.88700e-06,0.004375,0.000515625,6.12281
-9.88680e-06,0.00464063,0.00065625,6.1175
-9.88660e-06,0.00478125,0.00103125,6.11625
-9.88640e-06,0.00475,0.00115625,6.12375
-9.88620e-06,0.00484375,0.00109375,6.11
-9.88600e-06,0.00470313,0.00128125,6.10719
-9.88580e-06,0.00453125,0.00101563,6.10781
-9.88560e-06,0.00457813,0.00115625,6.115
-9.88540e-06,0.00465625,0.00128125,6.10469
-9.88520e-06,0.00471875,0.00189062,6.10219
-9.88500e-06,0.0051875,0.00165625,6.09438
-9.88480e-06,0.00490625,0.00151563,6.08656
-9.88460e-06,0.00504688,0.00173438,6.08625
-9.88440e-06,0.00517188,0.0015,6.09688
-9.88420e-06,0.0053125,0.00134375,6.08719
-9.88400e-06,0.00540625,0.00182813,6.0675
-9.88380e-06,0.0051875,0.0024375,6.06375
-9.88360e-06,0.0055625,0.002125,6.07219
-9.88340e-06,0.0053125,0.00215625,6.07531
-9.88320e-06,0.00520313,0.00235937,6.06656
-9.88300e-06,0.0050625,0.00190625,6.05469
