time	V_in
8.70669735266147171E-8	-1.20576003315914648E-2
8.71149870689485972E-8	-1.25570237790865069E-2
8.71710815216247781E-8	-1.31606254989738414E-2
8.72383366391279402E-8	-1.38875820413737339E-2
8.73477934664396471E-8	-1.48467017546939983E-2
8.74031358481536813E-8	-1.51742174471210522E-2
8.74588451571059800E-8	-1.54094673857690490E-2
8.75432524892628727E-8	-1.55507393299851215E-2
8.75912299546092399E-8	-1.54993372018113362E-2
8.76435754215173013E-8	-1.54102447127481557E-2
8.77013283697806223E-8	-1.52710234726317862E-2
8.77828850864004195E-8	-1.49893306267498883E-2
8.78362572761867177E-8	-1.47547827123418918E-2
8.78877030372964185E-8	-1.44920614000467074E-2
8.79453734687947275E-8	-1.40981821721981149E-2
8.80418027799913006E-8	-1.33973881176567788E-2
8.80967854226240910E-8	-1.30354478963245590E-2
8.81500719417822509E-8	-1.27688408705286482E-2
8.82076611305618385E-8	-1.25600045365932611E-2
8.82629910187224453E-8	-1.24390350763773094E-2
8.83145678453248806E-8	-1.23742616458755239E-2
8.83619260879998869E-8	-1.23235352512014584E-2
8.84177688245147131E-8	-1.23831857215496655E-2
8.84945874031986257E-8	-1.26108546753043504E-2
8.85810909712323991E-8	-1.30556836239107987E-2
8.86346947421790077E-8	-1.34698910224267032E-2
8.86899660518834487E-8	-1.40201284647535607E-2
8.87916753849362550E-8	-1.51666301881832499E-2
8.88496862660532294E-8	-1.58607950580815094E-2
8.89032401886256807E-8	-1.64400652356038224E-2
8.89611301911222263E-8	-1.70355851496044552E-2
8.90193324357801785E-8	-1.76300995522322035E-2
8.90683394468935674E-8	-1.81343036483146269E-2
8.91164259525196201E-8	-1.86234006943079500E-2
8.91727439953193191E-8	-1.91838924563923552E-2
8.92433863414143858E-8	-1.97832990625526328E-2
8.93413660596692338E-8	-2.03887040241783479E-2
8.93956787164042410E-8	-2.06119911015666535E-2
8.94515446663353231E-8	-2.07848085660983228E-2
8.95429210839708034E-8	-2.08784721062166989E-2
8.95944896526514256E-8	-2.08397696379131769E-2
8.96474070607909468E-8	-2.07636206372926591E-2
8.97239740587621526E-8	-2.05447071806914838E-2
8.98195069762676646E-8	-2.00931909809552689E-2
8.98740761706885394E-8	-1.97522581788799956E-2
8.99286140299532200E-8	-1.93649219460723554E-2
8.99981732486880404E-8	-1.89103321406873759E-2
9.00683908958191104E-8	-1.85490985885759452E-2
9.01187089999628910E-8	-1.83635766238753861E-2
9.01735287448557088E-8	-1.82316115726357930E-2
9.02432692309307605E-8	-1.81775043698633176E-2
